# RA	DEC
-79.641501 -11.434927
-79.876034 -11.883946
-80.111130 -12.332878
-80.346820 -12.781713
-80.583137 -13.230445
-80.820113 -13.679066
-81.057780 -14.127567
-81.296171 -14.575941
-81.535320 -15.024179
-81.775262 -15.472273
-82.016029 -15.920214
-82.257657 -16.367995
-82.500180 -16.815607
-82.743636 -17.263040
-82.988059 -17.710286
-83.233486 -18.157337
-83.479954 -18.604183
-83.727502 -19.050815
-83.976167 -19.497223
-84.225989 -19.943399
-84.477006 -20.389332
-84.729260 -20.835014
-84.982791 -21.280433
-85.237640 -21.725581
-85.170467 -21.758845
-85.103263 -21.792082
-85.036029 -21.825291
-84.968763 -21.858474
-84.901465 -21.891629
-84.834137 -21.924757
-84.766777 -21.957858
-84.699386 -21.990931
-84.631963 -22.023976
-84.564509 -22.056994
-84.497024 -22.089984
-84.429506 -22.122947
-84.361958 -22.155881
-84.294377 -22.188788
-84.226765 -22.221667
-84.159122 -22.254519
-84.091446 -22.287342
-84.023739 -22.320137
-83.956000 -22.352903
-83.888229 -22.385642
-83.820427 -22.418353
-83.752592 -22.451035
-83.684725 -22.483689
-83.616827 -22.516314
-83.548896 -22.548911
-83.480933 -22.581479
-83.412938 -22.614019
-83.344911 -22.646530
-83.276852 -22.679013
-83.208760 -22.711466
-83.140637 -22.743891
-83.072481 -22.776287
-83.004292 -22.808654
-82.936071 -22.840992
-82.867818 -22.873301
-82.799532 -22.905580
-82.731214 -22.937831
-82.662863 -22.970052
-82.594480 -23.002244
-82.526064 -23.034407
-82.457615 -23.066540
-82.389134 -23.098644
-82.320620 -23.130718
-82.252073 -23.162762
-82.183493 -23.194777
-82.114881 -23.226762
-82.046236 -23.258718
-81.977557 -23.290643
-81.908846 -23.322539
-81.840102 -23.354404
-81.771325 -23.386240
-81.702515 -23.418045
-81.633671 -23.449821
-81.564795 -23.481566
-81.495886 -23.513280
-81.426943 -23.544965
-81.357967 -23.576619
-81.288958 -23.608243
-81.219915 -23.639836
-81.150839 -23.671398
-81.081730 -23.702930
-81.012588 -23.734432
-80.943412 -23.765902
-80.874202 -23.797342
-80.804960 -23.828750
-80.735683 -23.860128
-80.666373 -23.891475
-80.597030 -23.922791
-80.527652 -23.954075
-80.458242 -23.985329
-80.388797 -24.016551
-80.319319 -24.047742
-80.249807 -24.078901
-80.180261 -24.110030
-80.110682 -24.141126
-80.041068 -24.172191
-79.971421 -24.203225
-79.901740 -24.234226
-79.832025 -24.265196
-79.762276 -24.296135
-79.692493 -24.327041
-79.622676 -24.357916
-79.552825 -24.388758
-79.482939 -24.419569
-79.413020 -24.450347
-79.343066 -24.481093
-79.273079 -24.511807
-79.203057 -24.542489
-79.133001 -24.573138
-79.062910 -24.603755
-78.992786 -24.634339
-78.922627 -24.664891
-78.852434 -24.695411
-78.782206 -24.725897
-78.711944 -24.756351
-78.641647 -24.786772
-78.571316 -24.817161
-78.500951 -24.847516
-78.430551 -24.877838
-78.524622 -25.057585
-78.618848 -25.237324
-78.713232 -25.417056
-78.807775 -25.596780
-78.902480 -25.776495
-78.997351 -25.956201
-79.092389 -26.135897
-79.187597 -26.315583
-79.282978 -26.495259
-79.378535 -26.674923
-79.474270 -26.854575
-79.570186 -27.034215
-79.666286 -27.213843
-79.762572 -27.393457
-79.859047 -27.573057
-79.955715 -27.752643
-80.052577 -27.932214
-80.149637 -28.111770
-80.246898 -28.291310
-80.344362 -28.470833
-80.442033 -28.650338
-80.539914 -28.829827
-80.638007 -29.009297
-80.736315 -29.188748
-80.834842 -29.368180
-80.933591 -29.547592
-81.032564 -29.726983
-81.131765 -29.906353
-81.231197 -30.085702
-81.330863 -30.265028
-81.430766 -30.444332
-81.530910 -30.623611
-81.631298 -30.802867
-81.731933 -30.982098
-81.832819 -31.161304
-81.933958 -31.340484
-82.035355 -31.519637
-82.137012 -31.698764
-82.238934 -31.877862
-82.341123 -32.056932
-82.443583 -32.235973
-82.546318 -32.414984
-82.649331 -32.593964
-82.752627 -32.772914
-82.856207 -32.951832
-82.960078 -33.130717
-83.064241 -33.309569
-83.168701 -33.488388
-83.273462 -33.667172
-83.378528 -33.845921
-83.483902 -34.024633
-83.589588 -34.203310
-83.695591 -34.381949
-83.801914 -34.560550
-83.908562 -34.739112
-84.015538 -34.917635
-84.122847 -35.096118
-84.230493 -35.274559
-84.338480 -35.452959
-84.446813 -35.631316
-84.555495 -35.809630
-84.664532 -35.987900
-84.773927 -36.166125
-84.883685 -36.344304
-84.993811 -36.522437
-85.104309 -36.700522
-85.215184 -36.878560
-85.326441 -37.056548
-85.438083 -37.234487
-85.550117 -37.412375
-85.662547 -37.590211
-85.775377 -37.767995
-85.888613 -37.945726
-86.002260 -38.123403
-86.116323 -38.301025
-86.230806 -38.478590
-86.345716 -38.656099
-86.461057 -38.833550
-86.576835 -39.010943
-86.693055 -39.188275
-86.809722 -39.365547
-86.926842 -39.542758
-87.044421 -39.719906
-87.162463 -39.896990
-87.280976 -40.074009
-87.399964 -40.250964
-87.519434 -40.427851
-87.639391 -40.604671
-87.759842 -40.781422
-87.880791 -40.958103
